,title,Tipo,tags,academic level,discipline,description,location,deadline,final_date,requisites,Image URL,Url,majors,languages,semester,vacancies,grade,prize,compensation,cost
0,Vacancy for Automation Specialist at Weill Cornell in the USA,Pasantia," Tags: Academic Jobs, International job opportunities, Jobs, Jobs in United States, Jobs in USA, jobs opportunities, opportunities, Opportunity, opportunity for youths, oyaop, oyaop.com, university jobs, university jobs in USA, www.oyaop.com",University,Education,"Applications have opened for the Vacancy for Automation Specialist at Weill Cornell.Interested candidates can apply for the position now. The category of the position is Laboratory and Research. Job ResponsibilitiesResponsible for the operation of HTDS facility-related projects within Weill Cornell Medicine.Additionally, the incumbent performs and evaluates automated in vitro assays for high throughput identification of cancer therapies.Also, he/she performs instrument maintenance and troubleshooting as necessary.Executes projects associated with efforts between the HTDS facility, the facility co-directors, collaborators and CORE customers to perform high throughput drug screening assays and analysis.Likewise, he/she develops SOP’s of all technical aspects of the Perkin Elmer Operetta platform: Works with collaborators to create and optimize new imaging protocols and analysis sequences for each collaboration associated with the system.Also, refines and monitors protocols for preclinical pharmacy operations associated with high throughput drug screening facility experiments: protocol optimization, instrument maintenance, plate setup, and sample tracking and documentation.Likewise, the candidate is responsible for the maintenance and troubleshooting of HTDS robotics systems as necessary.Coordinates with the manufacturer to troubleshoot problems.Moreover, he/she maintains sample and experiment records, inventory, and Instruments.",USA,"Deadline30 May,2020",-,"EducationBachelor’s DegreeExperience  Master’s Degree with relevant experience.Additionally, candidates with Bachelor’s degree and exceptional background and experience will be considered.Knowledge, Skills, and AbilitiesAbility to work independently and follow through on work assignments.Also, the ability to work closely and coordinate with various large teams and stakeholders.Similarly, strong organizational skills.Furthermore, strong analytical and technical problem-solving skills.AboutWeill Cornell Medicine, officially the Joan & Sanford I. Weill Medical College of Cornell University, is the biomedical research unit and medical school of Cornell University, a private Ivy League university.  Visit theÂ official pageÂ for further details.",-,https://career4.successfactors.com/career?company=C0000274692P&amp;career_ns=job_listing&amp;navBarLevel=JOB_SEARCH&amp;career_job_req_id=35402,-,English,-,-,-,-,-,-
1,Instructor for Biochemistry at Tulane University,Pasantia," Tags: Academic Job, Academic job in US, Academic jobs in LA, Biochemistry, career opportunities, Entry level job, Full time Academic Job, General Job at University, Instructor for Biochemistry, Instructor for Biochemistry at Tulane University, International job opportunities, Job in US, Job opportunities, job vacancy, jobs in LA, Jobs in New Orleans, jobs opportunities, opportunities, Opportunity, oyaop, oyaop.com, Tulane University, Tulane University of Medicine",University,Education,"The Tulane Department of Biochemistry and Molecular Biology in Downtown New Orleans is recruiting for an Instructor which is a faculty position. Click: Assistant Professor of Allied Health in Eastern CT State University Responsibilities of Instructor of Biochemistryenhance the research programs on:  cancer mechanismstumor and cancer biologytranslational cancer research including:tumor initiation and progressiontumor microenvironmentcancer stem cell biologyalso, genome instabilityepigeneticnon-coding RNAsanti-cancer drug discoveryIn addition, structural biology in this departmentYou might also like: Research Assistant in the Department of Psychiatry (University of Toledo) ",USA,CityNew Orleans,-,"Must have a Ph.D.a minimum of 3 years of postdoctoral work in DrosophilaÂ research.Benefits of Working at the Tulane UniversityÂ competitive paychoice of two medical plans, dental, vision, flexible spending options, long-term disability, as well as life insurance optionsalso, competitive retirement plans.Â Each semester, eligible employees and their eligible family members may receive an exemption from tuition.time off for vacation, observing holidays, sick leave, caring for a family member, the birth or adoption of a child, the loss of a family member, and morechild care centers located right on campusIn addition, an Employee Assistance Program that offers solutions for living well at home and workAlso check out: Assistant Professor of Anatomy in Trinity College Dublin, Ireland   Application InstructionsThis institution is using Interfolio’s Faculty Search to conduct this search. Applicants to this position receive a free Dossier account and can send all application materials, including confidential letters of recommendation, free of charge.You need to upload:Upload CVResearch Statement",-,https://apply.interfolio.com/104301,-,English,-,-,-,-,-,-
2,Regional Application Coordinator at University of Charleston,Pasantia," Tags: Academic Job, Academic job in US, Application Coordinator, career opportunities, Entry level job, Full time Academic Job, General Job at University, International job opportunities, Job in US, Job opportunities, job vacancy, jobs opportunities, opportunities, Opportunity, oyaop, oyaop.com, Regional Application Coordinator, Regional Application Coordinator at University of Charleston, UC, University of Charleston",University,Education,"The office of Admissions at the University of Charleston- Beckley is seeking a Regional Application Coordinator! This position will work closely with the Director of Recruiter Operations and Data Management, and also closely engage with data management and student solutions employees during the end of recruitment cycles.The application coordinator will be responsible for application files and management and sending for evaluation of transcripts. Occasional nights and weekends are required.  Click: Assistant Professor of Allied Health in Eastern CT State University Duties and ResponsibilitiesBe knowledgeable about all University of Charleston programs, features, facilities, scholarships, and financial aid opportunities.Be able to articulate the same in a professional, consistent manner.Work with supervisor to learn Recruiter as well as make sure processes are efficient and evaluate the effectiveness of various approaches utilized.Also, process applications and general acceptances in a timely manner.Coordinate with transcript evaluators to ensure the TE process is completed within 5-10 business days of acceptance.Process documents, create files, accept students as well as send and receive correspondences as directed.Interface with University personnel to assist with the enrollment processIn addition, assist with the customer service needs of the department by responding to student emails, assisting walk-ins, and requesting/collecting documents needed for acceptance and registration.Manage acceptance packets issued to newly accepted students.Be proficient in the use of the Universityâs Management Information System (Colleague and Recruiter) as well as various Microsoft Office applications.Moreover, carry out special projects and other duties as assigned.You might also like: Research Assistant in the Department of Psychiatry (University of Toledo)   Required SkillsAn office clerk background is a plus.must have excellent written and oral communication skillsAlso, strong computer & organizational skillsmust be able to think, plan and execute strategicallymust have a customer service orientationMoreover, be able to utilize relationship-building techniques.QualificationThis is an entry-level position that suggests a high school diploma.Also, be a goal-oriented self-starter who has the ability to handle multiple projects in a fast-paced environment.The candidate must have a reliable car and a valid driverâs license.In addition, must be able to lift and carry marketing/promotional materials (up to 30 lbs.).Also check out: UN Department of Political Affairs: Arms Expert in the USA Required DocumentsInterested candidates should submit:cover letterresumereferencesSubmit the documents to:University of Charleston â Beckley Nicole Rupe Email:Â [email protected]",USA,CityCharleston,-,"    DetailsThe office of Admissions at the University of Charleston- Beckley is seeking a Regional Application Coordinator! This position will work closely with the Director of Recruiter Operations and Data Management, and also closely engage with data management and student solutions employees during the end of recruitment cycles.The application coordinator will be responsible for application files and management and sending for evaluation of transcripts. Occasional nights and weekends are required.  Click: Assistant Professor of Allied Health in Eastern CT State University Duties and ResponsibilitiesBe knowledgeable about all University of Charleston programs, features, facilities, scholarships, and financial aid opportunities.Be able to articulate the same in a professional, consistent manner.Work with supervisor to learn Recruiter as well as make sure processes are efficient and evaluate the effectiveness of various approaches utilized.Also, process applications and general acceptances in a timely manner.Coordinate with transcript evaluators to ensure the TE process is completed within 5-10 business days of acceptance.Process documents, create files, accept students as well as send and receive correspondences as directed.Interface with University personnel to assist with the enrollment processIn addition, assist with the customer service needs of the department by responding to student emails, assisting walk-ins, and requesting/collecting documents needed for acceptance and registration.Manage acceptance packets issued to newly accepted students.Be proficient in the use of the Universityâs Management Information System (Colleague and Recruiter) as well as various Microsoft Office applications.Moreover, carry out special projects and other duties as assigned.You might also like: Research Assistant in the Department of Psychiatry (University of Toledo)   Required SkillsAn office clerk background is a plus.must have excellent written and oral communication skillsAlso, strong computer & organizational skillsmust be able to think, plan and execute strategicallymust have a customer service orientationMoreover, be able to utilize relationship-building techniques.QualificationThis is an entry-level position that suggests a high school diploma.Also, be a goal-oriented self-starter who has the ability to handle multiple projects in a fast-paced environment.The candidate must have a reliable car and a valid driverâs license.In addition, must be able to lift and carry marketing/promotional materials (up to 30 lbs.).Also check out: UN Department of Political Affairs: Arms Expert in the USA Required DocumentsInterested candidates should submit:cover letterresumereferencesSubmit the documents to:University of Charleston â Beckley Nicole Rupe Email:Â [email protected]",-,https://www.ucwv.edu/job-postings/regional-application-coordinator/,-,English,-,-,-,-,-,-
3,"Assistant, Associate or Full Project Scientists",Pasantia," Tags: Academic Job, Academic job in US, Assistant Project Scientist, Associate Project Scientist, career opportunities, Department of Chemistry and Biochemistry, Department of Chemistry and Biochemistry at UC San Diego, Full time Academic Job, Full-time Project Scientist, International job opportunities, Job in US, Job opportunities, job vacancy, jobs opportunities, opportunities, Opportunity, oyaop, oyaop.com, Part time Academic Job, Project Scientist, UC San Diego, University of California San Diego",University,Education,"The Department of Chemistry and Biochemistry at UC San Diego is conducting an open search for Project Scientists in various academic disciplines.Pending budgetary approval, one or more non-tenure-track positions may become available for the 2022 academic year. Click: Assistant Professor of Anatomy in Trinity College Dublin Responsibilitiesmake significant and creative contributions to a research team, but are not necessarily leaders of the research team.also, publish and carry out research or creative programs with supervision by a member of the Professor or Professional Research series.may serve as Co-Principal Investigators with members of the Professor or Research Scientist series.In addition, University and public service are encouraged but not required, and they do not have formal teaching responsibilities.Appointment durations vary depending on the length of the research project and the availability of funding.  You might also like: Vacant Position of Energy Engineer in Trinity College Dublin QualificationBasic ",USA,"Deadline30 June,2022",-,"Document requirementsCurriculum VitaeStatement of Research, Interest, and GoalsAlso, Statement of Contributions to Diversity – Applicants should summarize their past or potential contributions to diversity.Cover Letter (Optional)Misc / Additional (Optional)In addition, 3 Reference (contact information only)Apply here:Â https://apol-recruit.ucsd.edu/JPF02869Help contact:Â [email protected]",-,https://apol-recruit.ucsd.edu/JPF02869,-,English,-,-,-,-,-,-
4,Part-Time Faculty in Accounting || Eastern CT State University,Pasantia," Tags: Academic Job, Academic job in US, career opportunities, Department of Accounting and Business Information Systems, Eastern Connecticut State University, Eastern CT State University, Full time Academic Job, International job opportunities, Job, Job in US, Job opportunities, job vacancy, jobs opportunities, opportunities, Opportunity, oyaop, oyaop.com, Part time Academic Job, Part-time, Part-Time Faculty in Accounting, part-time job",University,Education,Eastern Connecticut State University is seeking applicants to fill part-time teaching positions in the faculty of Accounting in the Department of Accounting and Business Information Systems. Click: Vacant Position of Energy Engineer in Trinity College Dublin General ,USA,CityWillimantic,-," for Part-Time teaching positions in Accounting Faculty:MBA/Master’s degree in accountancy with Certification (i.e., CPA, CMA, and/or CIA).Ability to teach on-ground classes.Candidates should also demonstrate potential for or evidence of quality teachingCandidates should have a teaching interest in principles of Accounting, taxation, auditing, and intermediate accounting areas.Professional background in accounting is a plus.You might also like: Lecturer in Human Computer Interaction in BCU   How to Apply for Part-Time teaching positions in Accounting FacultyInterested applicants should submit a statement of interest and current vita to Dr. Mohd RuJoub at [email protected]Also check out: Director Accreditation and Assessment in the University of Lahore   Apply today!!",-,https://www.easternct.edu/human-resources/job-opportunities.html#parttimefaculty,-,English,-,-,-,-,-,-
5,Research Assistant in Department of Psychiatry (University of Toledo),Pasantia," Tags: Academic Job, Academic job in US, career opportunities, Department of Psychiatry, Full time Academic Job, International job opportunities, Internship opportunities for students, Job in US, Job opportunities, job vacancy, jobs opportunities, opportunities, Opportunity, oyaop, oyaop.com, psychiatry, Research Assistant, Research Assistant in Department of Psychiatry, Research Assistant in Department of Psychiatry (University of Toledo), Research Assistant in Department of Psychiatry of University of Toledo, The University of Toledo, University of Toledo, Vacancy in University of Toledo",University,Education,"The University of Toledo is now hiring Research Assistant for its Department of Psychiatry! The Research Assistant will work full time (8:30 am to 5:00 pm) at Health Science Campus College. The salary will range from $38,100 to $47,667 on the basis of your experience.Click: Assistant Professor of Anatomy in Trinity College Dublin   ResponsibilitiesConducting and coordinating psychiatric research projects under the direction of Elissar Andari, Ph.D.Conduct recruitment and retention of subjects and collections of behavioral, physiological, clinical, and imaging data at UTMC and other collaborating institutesAlso, she or he will be responsible for regulatory documentation and IRB submissions for all human research projects conducted in the lab.manage, organize, process, and analyze the data of studies in the lab, as well as summarize the results for publications and grants.In addition, developing imaging protocols, processing MRI functional, structural, and statistical analysis of brain and physiological/behavioral data.contribute to research administration including supervising Research staff in the lab.Moreover, assisting the PI in organizing meetings, helping with ICAN initiatives, and managing/supervising students and staff members in the lab.You might also like: Vacant Position of Energy Engineer in Trinity College Dublin Minimum ",USA,City Toledo,-,"Bachelorâs degree in life science, social behavioral science, psychology, sociology, research, or related fieldPrior work experience in a health-related fieldAlso, completes IRB training and maintains training up-to-dateAbility to effectively communicate with participantsProficiency in Microsoft Word as well as ExcelAbility to maintain the highest level of patient confidentialityIn addition, well organized, precisely follow the protocols and regulationsKnowledge in the usage of statistical softwareInterest in writingMoreover, owns Management skillsAlso check out: Lecturer in Human Computer Interaction in BCU   Preferred Qualifications:Basic medical training, statistical skills, and/or research experience, preferredAlso, a Master’s or doctoral degree in neuroscience, clinical, psychology, or related fieldBasic knowledge of human neuroscience is preferredFamiliar with behavioral tasks and/or programming in Matlab on a Linux workstation for fMRI data analysisIn addition, skills or experience in MRI scan processing and analysis using image processing software, familiar with Linux OS, basic programming, and large database organization and analyses.",-,https://careers.utoledo.edu/cw/en-us/job/493454/research-assistant-department-of-psychiatry,-,English,-,-,-,-,-,-
6,Vacant Position of Energy Engineer in Trinity College Dublin,Pasantia," Tags: Academic job in Ireland, Academic Job in Trinity College Dublin, Academic Jobs, career opportunities, Energy Engineer, Energy Engineer in Trinity College Dublin, Energy Engineering, International job opportunities, Ireland, Job in Ireland, Job in Trinity College Dublin, Job opportunities, Jobs, opportunities, opportunities for students, opportunities for youths, oyaop, oyaop.com, Trinity College Dublin, university job, Vacancies, Vacancy in Trinity College Dublin, Vacant Position of Energy Engineer in Trinity College Dublin, www.oyaop.com",University,Education,"Join Trinity College Dublin’s Facilities and Services, as an Energy Engineer! The Energy Engineer will plan, regulate, and monitor the energy and utility use across all the Estate. The role will lead to efficiency improvements and carbon management by evaluating energy and utility usage and implementing policies, changes, and projects to achieve carbon reduction targets against the Universityâs annual utilities expenditure.Click: Boston University Full Time Web Developer   Duties and ResponsibilitiesThe Energy Engineer will be expected to do the following task but not limited to:Implement the revised energy management strategy including the rollout.Supervise and the management of the Energy Services Team.Also, manage and supervise contractors and service partners.To provide cover for the supervision and management of the other Services Teams when any of the other Service Managers are on leave.To provide technical advice on matters relating to building services and maintenance.In addition, represent the Technical Services Manager in his absence for matters relevant to the Building Services in that area.draw up plans using AutoCAD and building information modeling software (BIM).Moreover, check-off invoices, credit notes, and account management using the various software-based systems.You might also like: Research Technician in Mississippi State University   ",Ireland,"Deadline21 March,2022",-,"A minimum qualification of a Bachler of Engineering (Hons) in Energy Management (Built Environment) (Level 8) or Bachler of Engineering (Hons) in Building Services Engineering (Level 8) (Essential)Project Management (Desirable)Managing Safety in Construction (Desirable)Full clean driving license with categories B (Essential).Safe Pass (Desirable).AutoCAD (Desirable).BIM (Desirable).IT skills including Microsoft Word, Excel, and email (Essential).Also check out: SNHU Online Computer Science program Professor Knowledge and ExperienceMinimum of 5 years experience in the management of large utility accounts, manager in the operation of building services/energy management is essential, ideally in an institutional setting of comparable scale.Significant experience of working with major historic sites and listed buildings is desirableKnowledge and experience in Building Services are essential.Also, People Management/supervision is essential.Financial Management is desirable.Experience of working in a multi-skilled and diverse team.A knowledge of good practice relating to Health and Safety Regulations.Have excellent interpersonal, organizational as well as communication skills, both oral and written to facilitate professional oral and written instructions.In addition, the ability to establish and maintain effective work relations is necessitated by work assignments.Can prioritize tasks and meet deadlines.Be enthusiastic, flexible, and willing to work outside usual office hours when required.The ability to plan and takes pride in their workMoreover is willing to learn and impart knowledge  ",-,https://my.corehr.com/pls/trrecruit/erq_jobspec_version_4.display_form,-,English,-,-,-,-,-,-
7,"Assistant Professor of Anatomy in Trinity College Dublin, Ireland",Pasantia," Tags: Academic job in Ireland, Academic Job in Trinity College Dublin, Academic Jobs, Assistant Professor in School of Medicine, Assistant Professor of Anatomy, Assistant Professor of Anatomy in Trinity College Dublin, career opportunities, International job opportunities, Ireland, Job in Ireland, Job in Trinity College Dublin, Job opportunities, Jobs, opportunities, opportunities for students, opportunities for youths, opportunity in Medicine, oyaop, oyaop.com, School of Medicine, Trinity College Dublin, university job, Vacancies, Vacancy in Trinity College Dublin, www.oyaop.com",University,Education,"Join the Trinity College Dublin’s Faculty of Health and Science as an assistant Professor of Anatomy with a fixed 3-years contract. The Assistant Professor will report to the Head of School of Medicine.Click: Assistant/Associate Professor for Environmental Biology   SalaryThe appointment will be made on the Assistant Professorship Salary Scale commensurate with qualifications/experience and in line with Public Sector Pay Policy [â¬36,009 to â¬87,739 per annum]Click here to learn more on salary  Standard Duties and ResponsibilitiesCoordination of modules and the provision of lectures and practical classes in gross as well as clinical anatomy taught to undergraduate students from the School of Medicine.Also, activity in research, obtaining funding and publishing in international journals with a view to sustaining a research group of postgraduate studentsSupervision of undergraduate and MSc research/taught projects and Ph.D. students.In addition, participation in the wider academic life of the College, including committee membership and professional development activitiesAlso check out: Web Application Developer: Princeton Plasma Physics Laboratory (PPPL) ",Ireland,"Deadline01 April,2022",-,"A primary degree and a Ph.D. in an anatomy-related life science subject or a medical degree with significant postgraduate research experience.Knowledge & ExperienceEssentialPrevious experience in anatomy and undergraduate teachingPrevious experience in research and publicationDesirablePrevious experience in cadaveric anatomyPrevious experience in attracting research fundingAlso, experience in supervising undergraduate and postgraduate dissertationsExperience in developing new modules as well as teaching materialIn addition, experience in using new teaching media, including blended learning modalitiesExperience in working collaboratively and effectively in an inter and multidisciplinary environmentMoreover, experience in supervising research postgraduate studentsYou might also like: Director Accreditation and Assessment in the University of Lahore Application InformationCandidates must submit the application by e-recruitment:Cover letterFull curriculum vitae to include the names and contact details of 3 refereesAlso, List of publicationsResearch plan (summarising research to be carried out in the next three years â 2 pages maximum)In addition, teaching statement (summarising teaching experience and approach â 2 pages maximum)",-,https://my.corehr.com/pls/trrecruit/erq_jobspec_version_4.display_form,-,English,-,-,-,-,-,-
8,Lecturer in Human Computer Interaction in BCU,Pasantia," Tags: Academic Job in Birmingham City University, Academic job in UK, Academic Jobs, Birmingham City University, International job opportunities, Job in Birmingham City University, Job in UK, Job opportunities, Jobs, opportunities, opportunities for youths, oyaop, oyaop.com, university job, Vacancies, www.oyaop.com",University,Education,"Vacancy for the position of Lecturer in Human-Computer Interaction at Birmingham City University, UK! For this role, Birmingham City University is particularly seeking applicants who bring skills in Human-Computer Interaction with a strong technical background. Location:Â City Centre Campus (Millennium Point)Salary:Â Â£38,639 to Â£41,998 per annumJob type:Permanent full timeClick: SNHU Online Computer Science program Professor Main Duties and ResponsibilitiesÂ Collaborating with colleagues in the DMT Lab to create high-quality research leading to publications in reputable journals and conference proceedings, as well as to assist in developing bids and partnerships for research funding.Teaching as a member of the HCI, Digital Media Technology, and Computer Games Technology teams in a variety of settings from small group tutorials to large lectures at both undergraduate and graduate levels.Also, providing an excellent student experience through innovating on best practices for learning, teaching, support, and assessment methods.Supervising student projects at the undergraduate and postgraduate levels.Leading in the design and development of high-quality, up-to-date modules as well as subjects embracing technically advanced and emerging computing and HCI topics.Participating in as well as orchestrating outreach activities to aid in recruitment.Building contacts internally and externally to conduct knowledge transfer activities.In addition, working closely with industry partners to realize the Departmentâs aim to be an international authority in HCI research and practice.Also check out: Harvey Mudd College | Visiting Professor | Computer Science   Skills and ExperienceÂ Â Â EssentialHold a Ph.D. in an applied technical computing subjectExcellent technical knowledge and experience in developing software solutionsExcellent working knowledge of interaction design, usability testing, experimental design, and statistical analysis (quantitative/qualitative).Also, a proven record of research and research publications in leading international conferences/journals.Experience of collaboration across your area of practice.Evidence of teaching in higher education or have presented to technical audiences in an industry setting.In addition, excellent team working and communication skills. DesirableExperience of current and emerging industry practices in HCI, UX, and applied computing.Also, expertise in programming languages and standard frameworks/platformsTo be a member of, or to have submitted for fellowship with AdvanceHE.Moreover, the experience in income generation, research funding, and knowledge transfer.You might also like: Lecturer/Reader in Cyber Security & Privacy at University of Edinburg BenefitsIn return for your dedication and hard work, can expect great ongoing personal and professional development plus the following main benefits;  Generous annual leave entitlement â 40 days including bank holidays as well as Christmas/New Year closureSickness/absence entitlementTeachersâ Pension schemeAlso, Library facilities on all campusesLife AssurancePersonal AccidentTravelcard schemeIn addition, car parkingCycle to work schemeCar share schemeMoreover, Catering facilitiesSelection and Interview ProcessShortlisted applicants will get an invitation to participate in an Assessment Centre process, incorporating a detailed interview as well as teaching activity.",UK,"Deadline24 March,2022",-,"    DetailsVacancy for the position of Lecturer in Human-Computer Interaction at Birmingham City University, UK! For this role, Birmingham City University is particularly seeking applicants who bring skills in Human-Computer Interaction with a strong technical background. Location:Â City Centre Campus (Millennium Point)Salary:Â Â£38,639 to Â£41,998 per annumJob type:Permanent full timeClick: SNHU Online Computer Science program Professor Main Duties and ResponsibilitiesÂ Collaborating with colleagues in the DMT Lab to create high-quality research leading to publications in reputable journals and conference proceedings, as well as to assist in developing bids and partnerships for research funding.Teaching as a member of the HCI, Digital Media Technology, and Computer Games Technology teams in a variety of settings from small group tutorials to large lectures at both undergraduate and graduate levels.Also, providing an excellent student experience through innovating on best practices for learning, teaching, support, and assessment methods.Supervising student projects at the undergraduate and postgraduate levels.Leading in the design and development of high-quality, up-to-date modules as well as subjects embracing technically advanced and emerging computing and HCI topics.Participating in as well as orchestrating outreach activities to aid in recruitment.Building contacts internally and externally to conduct knowledge transfer activities.In addition, working closely with industry partners to realize the Departmentâs aim to be an international authority in HCI research and practice.Also check out: Harvey Mudd College | Visiting Professor | Computer Science   Skills and ExperienceÂ Â Â EssentialHold a Ph.D. in an applied technical computing subjectExcellent technical knowledge and experience in developing software solutionsExcellent working knowledge of interaction design, usability testing, experimental design, and statistical analysis (quantitative/qualitative).Also, a proven record of research and research publications in leading international conferences/journals.Experience of collaboration across your area of practice.Evidence of teaching in higher education or have presented to technical audiences in an industry setting.In addition, excellent team working and communication skills. DesirableExperience of current and emerging industry practices in HCI, UX, and applied computing.Also, expertise in programming languages and standard frameworks/platformsTo be a member of, or to have submitted for fellowship with AdvanceHE.Moreover, the experience in income generation, research funding, and knowledge transfer.You might also like: Lecturer/Reader in Cyber Security & Privacy at University of Edinburg BenefitsIn return for your dedication and hard work, can expect great ongoing personal and professional development plus the following main benefits;  Generous annual leave entitlement â 40 days including bank holidays as well as Christmas/New Year closureSickness/absence entitlementTeachersâ Pension schemeAlso, Library facilities on all campusesLife AssurancePersonal AccidentTravelcard schemeIn addition, car parkingCycle to work schemeCar share schemeMoreover, Catering facilitiesSelection and Interview ProcessShortlisted applicants will get an invitation to participate in an Assessment Centre process, incorporating a detailed interview as well as teaching activity.",-,https://jobs.bcu.ac.uk/vacancy.aspx?ref=102021-449-R,-,English,-,-,-,-,-,-
9,Director Accreditation and Assessment in the University of Lahore,Pasantia," Tags: Academic Job, Academic Job in Pakistan, career opportunities, Director Accreditation and Assessment, Director Accreditation and Assessment in the University of Lahore, International job opportunities, Job opportunities, job vacancy, Jobs, Jobs in US, jobs opportunities, opportunities, Opportunity, oyaop, oyaop.com, University of Lahore, www.oyaop.com",University,Education,"Lahore Business School at The University of Lahore is looking forÂ Director Accreditation and AssessmentÂ for itsÂ Accreditation Directorate. The University of Lahore has an international profile that has focused on the quality of education, excellent infrastructure, and well-dedicated faculty. The Details of the PostSchool/Service: Lahore Business SchoolPost: Director Accreditation and Assessment  Reporting To: Accreditation Advisory CouncilThe above role is available immediately on a full-time permanent basis.  Click: Full-time Grant Writer in Cornell College ",Pakistan,City Lahore,-,"must hold a Ph.D. Degree in Business Administration/Management/Total Quality Management/Project Management/equivalent from AACSB Ranked University.minimum of five years previous experience in the project management role and also had been involved in process and policy development.CompetenciesUnderstanding of a University/Business School environmentEffective communication and leadership skillsExceptional planning as well as time management skillsAlso, the ability to work flexibly and manage a complex workloadYou might also like: Associate Director of Research and Scholarship Duties and ResponsibilitiesLead on school international accreditation processes.Involve in strategic planning as well as develop the requirements of psychical, virtual, and financial resources for business schools as per the requirements of the accreditation body.Also, develop a comprehensive action plan for the business school to meet the Accreditation Standards.Proactively engage with Policy, Planning, and Business Intelligence teams to ensure key strategies and objectives are formulated, implemented, as well as monitored, in line with the schoolâs commitment to continuous improvement and innovation as a part of the accreditation process.Develop strategies for the Learnersâ progression and success, thought leadership, engagement, and societal impact.In addition, forge relationships with key stakeholders both internal and external to facilitate the accreditation process.Provide progress reports and briefings to Accreditation Advisory Council.Undertake benchmarking, both nationally and internationally to support accreditation activity.Manage the accreditation budget.Moreover, develop knowledge of the aims and activities of other divisions and teams involved in the accreditation process.Also, check out: Department Head & named professorship",-,https://uol.edu.pk/jobs/director-accreditation-and-assessment/,-,English,-,-,-,-,-,-
