,Titulo,Tipo,Tags,Nivel Educativo,Categoria,Descripcion,Ubicacion,Fecha Inicio,Fecha Final,Requisitos,Url de IMAGEN,Url (PAGINA WEB),Carreras,Idiomas,Semestre,Vacantes,Calificacion,Premio,Remuneracion,Costo
0,Les Margaret Awards 2023 | Fully Funded,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Emprendimiento,"Applications are open for theÂ Les Margaret Awards 2023. Les Margaret Awards reward every year European and African women entrepreneurs and intrapreneurs, whose projects and innovation meet the major challenges of the society. This year again, JFD will reward women for their creativity, audacity and innovation through 3 award categories: Entrepreneur, Intrapreneur and Junior, each of which will include a European and African winner.See More: Metaverse Design Thinking Course 2022 | Fully FundedGoing further with its commitment, JFD has also chosen to place the issue of the gender investment gap in projects led by Women in Digital at the heart of its agenda.Â âInvest in HerâÂ will therefore be the main theme of the 2022-2023 programme, which will bring together women leaders, investors, entrepreneurs, advisors and the media over the coming months to improve and promote investment in women in tech.  Prizes from Les Margaret AwardsThe Margarets in the Entrepreneur and Intrapreneur categories will benefit from the JFD Acceleration Programme: media exposure worth â¬1 million for one year, speaking opportunities at major international events, digital equipment, coaching/mentoring sessions with JFD partners and funding.The Margaret Juniors will receive tailored support for the development of their projects, digital equipment and a â¬1000 scholarship. They will also be mentored and coached by the JFD partners and will benefit from high media exposure.",Africa,"Deadline09 January,2023",-," for Les Margaret AwardsLes Margaret Awards is dedicated to women citizens of a European or African country who place innovation at the heart of their action and who have thus developed a digital project, in all sectors, that responds to one or several societal and environmental issues: a disruptive innovation that creates jobs and value for our economies.Candidates can apply in 3 categories:  Entrepreneur: for female founders or co-founders of tech start-ups;Intrapreneur: for women working for companies who have developed an innovative project in agreement with their employer while remaining employed;Junior: for girls aged between 7 and 18 who have an idea, a concept, a start-up project that responds to a problem through the application of a technology or those who have developed a prototype (robot, game, appâ¦) using one or several technologies.Application of Les Margaret AwardsApplications will close on January 9, 2023. The award ceremony, under the high patronage of the President of the French Republic, will take place on April 17, 2023 in Paris.See More: IIASA Postdoctoral Fellowship Program 2023 | Fully FundedLastly, It is important to visit the official website link found below to access the application form.Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://www.joinjfd.com/en/jfd-opens-the-call-for-applications-for-les-margaret-awards-2023/,-,Inglés,-,-,-,-,-,-
1,Westerwelle Entrepreneurship Program 2022 | Funded,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Emprendimiento,"Applications are open for the Westerwelle Entrepreneurship Program â East Africa 2022. The Westerwelle Entrepreneurship Programme is a 6-month programme for innovative tech startups in Rwanda and Tanzania. 30 selected startups will be provided with the right infrastructure, skills and networks to advance their tech solutions. This programme is supported by Make-IT in Africa, a project by Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit (GIZ) GmbH on behalf of the German Federal Ministry for Economic Cooperation and Development (BMZ).See More: John S. Knight Journalism Fellowships 2023/24 | FundedBenefits from Westerwelle Entrepreneurship Program6-month free access to workspace at the Westerwelle Startup Haus Kigali/Westerwelle Startup Haus ArushaAccess to Makerspace / digital fabrication lab and product development supportBusiness and leadership skills training with specialized expertsTechnical advisory support: legal, financial and digital marketingIndividual mentoring with investors, business leaders and industry expertsOnline/offline meetups with peers and entrepreneurial communities around the worldLinkage with East African corporates, investors and other key players",Africa,"Deadline15 December,2022",-," for Westerwelle Entrepreneurship ProgramYou are eligible if:  You are passionate about building an innovative high-growth venture addressing a need in a marketYour product is built on technology: IOT/ Sensoring, Data Analytics/ Intelligence/ AI/ Machine Learning, Virtual Reality, Robotics, Drones/Aerial Imagery, Digital Platforms, Blockchain, etc.You and your team members are domain experts with complimentary skills and have a track record working as a teamYour startup solution has a clear business model and is able to scale its operations in East AfricaYour startupâs product/service contributes to the achievement of the SDGs (i.e.Â safe and fair job creation,Â potential to help underserved or low-income communities, climate mitigation and adaptation)You have women in your management team (executive or non-executive)Your operations are based in Rwanda or TanzaniaApplication of Westerwelle Entrepreneurship ProgramTry to answer the questions as accurately as you can, it will take you approximatelyÂ 20 minutes to fillÂ out the form. They will only consider fully filled applications.See More: 4th Youth Climate Conclave Photography Competition 2023Lastly, It is important to visit the official website link found below to access the application form.  Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://forms.zohopublic.eu/info979/form/WesterwelleEntrepreneurshipProgramEastAfrica/formperma/WtYBV7M1KzdCcv9R2RGRJsA2JnEAArwFI2zvXNWa8S8,-,Inglés,-,-,-,-,-,-
2,Young Entrepreneurs Challenge Europe 2023 | Funded,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Emprendimiento,"Applications are open for the Young Entrepreneurs Challenge Europe 2023. The Young Entrepreneurs Challenge brought to you by Verizon Business and Unloc is an annual event that seeks to find cutting edge young talent across Europe. Now in its 5th year thereâs never been a better time to put your ideas into action and reach for success! Got a great business idea or concept? If youâre 16-25 and have a fresh and innovative technology led idea for a business, or have started one already â then they want to hear from you. The competition seeks the best young minds from across Europe, young people with vision, social awareness and the ambition to achieve.See More: Global Initiative Against Resilience Fellowship 2023 | FundedPrizes from Young Entrepreneurs ChallengeStand a chance to win:  Â£10,000/â¬11,000* of funding for your start-up business.A mentorship package to accelerate your idea.Finalist runners-up will receive Â£1,000 of funding for your start-up business.Ticket to the Global One Young World 2023 Belfast Summit in Ireland.*The actual prize fund will be dependent on the exchange rate at time of award.",France,"Deadline20 January,2023",-,"Applications will be judged on three key factors:ViabilityCan the plan achieve what it states it will do?Does it operate within the budget/resources currently held or will acquire?Is the idea investment ready? How will you use the funding if successful?Tech InnovationIs the idea unique?Does it have a clear unique selling point?Is the technology solving the problem in a creative way or filling a gap in the market?SustainabilityWill the venture improve peopleâs lives?Will it meet social or community needs in a new way?Does it meet or sustain a UN Sustainable Development Goal (SDG)?Application of Young Entrepreneurs ChallengeSimply record a short video of yourself thatâs at least 60 seconds and a maximum of 90 seconds long â remember to explain how your idea meets the three criteria!Hit the apply buttonFill out the application form and submit your videoSit tight and wait to hear from the judges: finalists are announced in early February 2023See More:Â Thomson Reuters Economic Justice Dual Training 2022Lastly, It is important to visit the official website link found below to access the application form.Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://youngentrepreneurschallenge.com/,-,Inglés,-,-,-,-,-,-
3,Cascador Program for Entrepreneurs 2022 | Funded,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Emprendimiento,"Applications are open for the Cascador Program 2022. Cascador is a ground-breaking programme for mid-stage entrepreneurs in Africa who are scaling mission-driven companies. They combine one power week in-person in Lagos with 6 months of mentorship to turbo-charge your business. Their goal is that you leave the Cascador programme as a strong, transformative leader with a strategic plan to scale, and the connections, resources, and capital required to execute your plan.See More: Ashoka Prudential Emerging Visionaries Program 2023Fellows are dedicated to accelerating business growth, improving their leadership skills, and refining their value proposition with the guidance of successful American and Nigerian entrepreneurs. Cascador launched in 2019, and has elevated three successful cohorts of African entrepreneurs and their companies through a unique blend of education, self-discovery, mentoring, pitch training, and personalized advisory support.  ",Africa,-,-," for Cascador ProgramOpen to African entrepreneurs;Be at least 1 year in business;$50K USD annual revenue or >$250K USD capital raised.Application of Cascador ProgramThe venue for the programme is Lagos Business School (housing and meals are provided). Each cohort size is limited to 10 entrepreneurs.See More: Next Einstein Forum Ambassadors Program 2022-2024Lastly, It is important to visit the official website link found below to access the application form.  Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://cascador.org/?fbclid=IwAR2Czu0MMImhtSIgaMfi9ugqLLPavCkYmxlwDlQzaSi4zzcAr5sfDSmQ7uM,-,Inglés,-,-,-,-,-,-
4,NEXT TITAN Nigeria Season 9 for Entrepreneurs | Funded,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Emprendimiento,"Are you a game-changing Entrepreneur? Do you have what it takes to be onÂ THE NEXT TITAN NIGERIA Season 9 â The Game Changer? If Yes, then this is your chance to win the Grand Prize of N20,000,000. THE NEXT TITAN is back for the 9th season scouting for ambitious entrepreneurs seeking to demonstrate their entrepreneurial acumen with unbeatable business ideas, commercial insight and business savvy to stay out of eviction to win the grand prize of the season.See More; Royal Society University Research Fellowship 2022 | FundedBenefits from NEXT TITAN NigeriaThe winner walks off with the Grand Prize of N20,000,000.The three runners up win N2,500,000, N1,500,000, and N1,000,000 respectively.",Nigeria,-,-," for NEXT TITAN NigeriaFirstly, You must be a bona-fide Nigerian citizen.Secondly, You must be at least 21 years of age and not more than 40 years old.Thirdly, You must be a Graduate or an undergraduate of a Higher Institution of Learning.You must be in excellent physical and mental health.You must be willing and able to move into and reside in the âThe Titan Houseââ in Lagos for the duration of the 10 weeks of the show.You must be willing and able to cover all your travel expenses to and from the location of the âThe Next Titan Houseâ where all contestants will be resident throughout the duration of the show.You must be willing and able to fully participate for the duration of the 10 weeks of the show, based on the dates set by the Producers.You must be willing and able to peaceful co-exist with the other contestants who will be your housemates during the duration of the show.Neither you nor any of your immediate family members, must be an employee, producer, director or agent of Bravopoints International Ltd, Heritage Bank Plc, and other Sponsors, of the show.You must follow the Titan Instagram page @thenext_titan before you proceed.Application of NEXT TITAN NigeriaRegistration Stage:Â Contestants are expected to fill out Registration Form stating their business ideas, with upload of their full pictures.Audition Stage: Successful contestants from the first stage will be called for Auditions based on the choice of Audition location selected by the contestants.Top 50 Bootcamp:Â The Top 50 contestants will be invited to Lagos for Top 50 boot camp where they will engage in bootcamp activities for 3 days.Top 16 Contestants: After the end of the bootcamp, the top 16 or 18 contestants will be unveiled at a Premiere Ceremony of over 300 guests, and these contestants will make it to the Titan House for the 10-week main show on television.See More: AFS Global STEM Innovators Program 2022 | Fully FundedLastly, It is important to visit the official website link found below to access the application form.  Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.  ",-,https://thenexttitan.com/about/,-,Inglés,-,-,-,-,-,-
5,Standard Chartered Women in Technology Incubator 2022,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Emprendimiento,"Applications are open for theÂ Standard Chartered Women in Technology Incubator Kenya 2022. The Standard Chartered Women in Technology Incubator Kenya is Africaâs leading incubator program for female founded businesses, aligning with calls for more diversity in technology, entrepreneurship and for more opportunities for women to develop entrepreneurial and leadership excellence. The program combines world class startup support with local and international experience to provide a holistic startup incubation program focusing on immersive learning, mentorship & coaching, seed financing and business to business linkages for high potential startups tackling the continentâs most relevant challenges.See More: WISH Innovation Award 2022 for Health InnovatorsThematic Areas of Women in Technology IncubatorCompanies solving for any of the 17 SDGs with operations within, but not limited to the following sectors are eligible to apply for the program;  AgricultureHealthcareEducationManufacturingInformation TechnologyFinancial ServicesLogisticsBenefits from Women in Technology Incubator12 weeks of an immersive learning experienceAccess to a leading network of coaching expertsAccess to B2B networking opportunitiesPersonalized mentorship sessions to address your unique business needsOpportunity to join a supportive Women in Tech Alumni NetworkKES 1,000,000 equity-free grant seed funding for the top five finalists9 months ongoing support from Standard Chartered and @iBizAfrica to assist with the go-to market and scale for the top five finalists",Kenya,-,-," for Women in Technology IncubatorThe business must be based in Kenya i.e. be aligned with the needs of Kenyans and operating in Kenya;The company must be a tech-enabled and/or leveraging on emerging technologies, including but not limited to; Internet of Things (IoT); Artificial Intelligence; Robotics; Augmented & Virtual Reality; 3D & 4D Printing; Cloud Computing; Big Data; Blockchain; Drone Technology and Biometrics;The company must be founded or cofounded by a woman with an equal or majority stake;The founder or co founder must be over 18 years old and Kenyan;Business models must have a clear focus on sustainability and alignment to the Sustainable Development Goals (SDGs);3 months to less than 2 years of operations;Seeking support for proof of concept, customer, product and business model development;Pre-revenue with early traction (users);Post revenue is an added advantage, with the creation of a new business module.Application of Women in Technology IncubatorClick here to applySee More: Innocent Chukwuma Social Impact Chair & Fellowship 2022Lastly, It is important to visit the official website link found below to access the application form.  Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://www.womenintech.co.ke/about,-,Inglés,-,-,-,-,-,-
6,GrowthAfrica Accelerator Program 2022 | Funded,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Emprendimiento,"Applications are open for theÂ GrowthAfrica Accelerator Program 2022. The GrowthAfrica Accelerator is a 6-months support program that guides you in understanding all components of your business, internal and external realities, and identifying growth challenges to help you develop clear goals and a comprehensive strategic implementation-ready growth plan. The program develops your entrepreneurial leadership and grows your venture through business acceleration activities, strategic advice, and access to investments.See More: GCPR For Cultural & Creative Practitioners 2022 | FundedAre you an ambitious and committed entrepreneur from Kenya, Uganda, Ethiopia, Zambia or Ghana with the potential to grow and create impact through their businesses? Then this is for you.  Benefits from GrowthAfrica Accelerator ProgramGrowth strategy:Â Led by experienced facilitators, leveraging proprietary process and learning methodology, they focus on solutions that leads to an increase in your revenue, profits and impactBespoke incompany support:Â Get individualised and tailored in-company support from the most qualified team who will walk you through and support you in your business journeyAccess and fellowship with quality peers across Africa:Â Connect and benefit from peer-to-peer learning and networking with like-minded entrepreneurs across AfricaInvestment support:Â Receive support in identification of, access to and engagement with potential and relevant investorsAccess to mentors and industry-subject experts:Â You will have access to Pan-African mentors/experts who will offer you advice and be your sounding boardFinancial modelling:Â Support in build a financial model for your business growth and investmentLeadership:Â Acquire skills and tools to develop stronger entrepreneurial leadership",Africa,-,-," for GrowthAfrica Accelerator ProgramOpen to for profit, post revenue business;Have a full time and dedicated core team;Must have existed for 2 years or more;Dedicated full time founding team;Turnover of USD $50,000 plus;Open to raising external investment.Eligible SectorsThey are open to all sectors but have a soft spot for:AgribusinessEducationIT/mobile solutions/Tech enabled businessesFinancial services and FintechRenewable energyWater & sanitationHealthManufacturing/processingRetail/e-commerceApplication of GrowthAfrica Accelerator ProgramAre you ready to exponentially grow your business?  Click here to applySee More: IOE Centenary Scholarships 2022 | Fully FundedLastly, It is important to visit the official website link found below to access the application form.Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://growthafrica.com/apply-2/,-,Inglés,-,-,-,-,-,-
7,Paul Profeta Entrepreneur-in-Residence Program 2022 | Funded,Beca," Tags: Academic Jobs, career opportunities, Competitions and Awards, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, v, www.oyaop.com, youths",Universidad,Emprendimiento,"Applications for theÂ Paul Profeta Entrepreneur-in-Residence Program 2022Â are now open. The Profeta Entrepreneur-In-Residence (EIR) program provides training, access, and support to black, indigenous, and people of color who are interested in becoming high-tech, high-growth entrepreneurs. The EIR Fellows receive a financial stipend, access to entrepreneurial training and mentors, and an opportunity to build startups grounded in university intellectual property, partnered with researchers. The inaugural cohort will start in Spring 2022.See More: Colony on Mars || 2022 Architecture CompetitionsProgram ComponentsStipend:Â $13,000 stipend over the course of 6 months, provided in monthly installments.Programming:Â Access to all VentureLink entrepreneurial programs, including cohort educational sessions, Linkups, and Coffee Club.Residency:Â Expected 5 days/week working and learning. This does not need to be in the VentureLink co-working space, but must be productively spent.Network:Â Access to 1:1 consulting and support from the NJII Entrepreneurship Division, mentorship from industry and startup experts, and connections to Investors (upon readiness).",-,-,-," for Paul Profeta Entrepreneur-in-ResidenceThis program supports black, indigenous, and people of color ONLY.You do not need entrepreneurial experience to be qualified for this program. They are open to individuals of all professional backgrounds, although they do look for people with entrepreneurial aptitude and the tenacity to build a high-growth startup.Individuals interested in this program must be located within commuting distance from Newark, NJ.You need a minimum of a high school diploma or GED to apply, but continuing education is preferred.They are looking for individuals who are open to risk and feedback, willing to think creatively and act flexibly, and those who focus on outcomes and results.Application of Paul Profeta Entrepreneur-in-ResidenceFirstly, Submit Your ApplicationSecondly, Selected applicants will be invited for an interviewThirdly, ProjectÂ  â details will be provided if an applicant makes it to this stepLastly, SelectionSee More: Earth Photo 2022 || enabling a better understanding of the worldLastly, It is important to visit the official website link found below to access the application form.  Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.com for more scholarship opportunities.  ",-,https://www.venturelink.org/entrepreneurinresidence,-,Inglés,-,-,-,-,-,-
8,Enrich in Africa SBC Virtual Acceleration 2022,Beca," Tags: 2022, Acceleration Program, Accelerator Program, Accelerator Program 2022, Accelerator Squared, career opportunities, ENRICH, Enrich in Africa, Enrich in Africa SBC Virtual Acceleration, Enrich in Africa SBC Virtual Acceleration 2022, Entrepreneur Bootcamp, Entrepreneur Bootcamp 2022, entrepreneurship, entrepreneurship bootcamp, fully funded, fully funded opportunities, funded opportunities, opportunities, opportunities for entrepreneurs, opportunities for startups, opportunities for youths, opportunitties for youths, Opportunity, opportunity for Startups, oya opportunities, oyaop, oyaop.com, SBC Virtual Acceleration, startups, Workshop, www.oyaop.com, youths",Universidad,Emprendimiento,"If you are an African/European startup or SME that wants to develop its business in Europe or Africa then Apply to this virtual programme and receive lifetime access to Accelerator Squared! Accelerator Squared is the online digital acceleration platform where you can accelerate innovation, anytime, anywhere.Click: Fetola Youth Startup Accelerator (YSA) 2022   ",-,-,-," criteria for the Virtual AccelerationTo be eligible to apply, a company must have:Â at least 2 years old of operationÂ a turnover of at least $15 000 in 2021also, at least 2 employees and/or co-foundersMoreover, its headquarters based in an African/European countryPrizesThe 10 laureates will benefit from a virtual acceleration by having life-time access to the Accelerator Squared platform.Also, Laureates will have access to dozens of modules online to go through during their own time.The prizes offered include only what is indicated, to the exclusion of anything else. The prizes described above shall not be taken back or exchanged for other objects or services, whatever their value, and shall not be subject to any cash consideration.  Also check out: UNICEF Innovative Fund for Blockchain Startup General Calendar of the Calls for Application2022-01-03: Launch of the call for application2022-03-14: Selection of the 10 projects for quarter 12022-03-31: Announcement of the results2022-06-13: Selection of the 10 projects for quarter 22022-06-30: Announcement of the results2022-09-12: Selection of the 10 projects for quarter 32022-09-30: Announcement of the results2022-12-12: Selection of the 10 projects for quarter 42023-01-03: Announcement of the results2023-03-13: Selection of the 10 projects for quarter 52023-03-31: Announcement of the results2023-06-12: Selection of the 10 projects for quarter 62023-06-30: Announcement of the results2023-09-11: Selection of the 10 projects for quarter 72023-09-29: Announcement of the results2023-12-04: Selection of the 10 projects for quarter 82023-12-22: Announcement of the resultsYou might also like: Young Social Entrepreneurs (YSE) Global How to register?10 – 15 start-ups will be selected every quarter for the next 2 years, starting in March 2022.Applicants should fill in the registration form and will receive a confirmation of their registration by e-mail to the address given in the registration form. There is no closing application deadline. Therefore, your application will still have the opportunity for consideration for the next one. ",-,https://enrich-in-africa-project.eu/programmes,-,Inglés,-,-,-,-,-,-
9,Call for Pitches: AWiM Reporting Program 2022,Beca," Tags: Academic Jobs, career opportunities, Competitions and Awards, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, v, www.oyaop.com, youths",Universidad,Emprendimiento,"Submit your pitch for theÂ African Women in the Media (AWiM) Africa Environment Reporting Program 2022. AWiM is calling for pitches that will call attention to the gendered aspect of environmental issues in Africa. They are particularly interested in in-depth stories that explore environmental solutions with a focus on any of the 12 elements of the African Green Stimulus Program. Journalists could also highlight the impact of the Covid-19 pandemic on ecosystems, biodiversity, conservation, waste management and other issues related to the broader ecological challenges in Africa which affect women.See More: Brenthurst Foundation Fellowship Program 2022 | FundedPitches that focus on stories that have not been widely covered are preferred. So be on the lookout for issues that provide unique gendered angles to environmental challenges. Topics that have widely been covered are less likely to be selected.  Benefits from AWiM Reporting ProgramJournalists commissioned to produce stories will have access to training by AWiM.Commission fee is USD $100 per story.",Africa,-,-," for AWiM Reporting ProgramApplicants must be women journalists based in Africa. Applicants can be from any country in Africa. For the purposes of this reporting grant opportunity, they will only be accepting applications in English.Applicants must either have a working understanding of English or be able to translate their work.Pitches are open to women journalists working in any medium (e.g. online, print, television, radio etc.) and other media practitioners with a history of covering environmental beat. Pitches from freelance reporters and staff from all types of media organisations â international, national, local and community-based are encouraged. Where you are staff of a media organisation, indicate in your pitch if your organisation would like to co-publish your story.The Story FormatThey expect to award 60 story grants in total for the duration of the project. While out on the field, ensure that womenâs voices are well captured, and observe all safety measures where requested, access to AWiMâs safety for journalist training can be provided.  Each story must be accompanied with quality pictures, be verified, fact-check and go through the usual journalistic scrutinyWhere your story is republished in your affiliated media, this must be with your byline and indicate at the end that it is produced as part of theÂ AWiM/UNEP Africa environmental journalism program).Application of AWiM Reporting ProgramAll pitches must be no more than 250 words. It should highlight the key issue you want to focus on, why it is relevant to the program, the extent to which it is under reported, and what the gender angle is. Also indicate why you are the right person to report it and the access you already have.Remember to read theÂ editorial policy and submissions guidelineÂ before sending your pitch.All pitches for this grant should be sent toÂ [email protected]See More: King AbdulAziz University Scholarship in Saudi Arabia 2022/23 | FundedLastly, It is important to visit the official website link found below to access the application form.Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://awimnews.com/the-network/write-for-us/,-,Inglés,-,-,-,-,-,-
