,Titulo,Tipo,Tags,Nivel Educativo,Categoria,Descripcion,Ubicacion,Fecha Inicio,Fecha Final,Requisitos,Url de IMAGEN,Url (PAGINA WEB),Carreras,Idiomas,Semestre,Vacantes,Calificacion,Premio,Remuneracion,Costo
0,Fully Funded Cultural Exchange Program in Japan,Beca,-,Universidad,Educación,"Fully Funded Cultural Exchange Program in Japan Letâs experience springtime in Japan!!! Get to know about Japanese Culture Or experience to have Inter-cultural learning in line with making a friend. Itâs your turn to see and travel to Osaka and Kyoto directly.Â  AYFN is delighted to invite you joining our culture camp in Japan. This is a distinguished program that suits your curiosity to have experimental learning!! Youth exchange and cultural program!Program DescriptionJapan Culture Camp by AYFN is a cultural learning program designed to give an understanding on culture and social awareness for participants. This program was started since 2015. This program enables participants to learn about Japanese culture in line with making a friend directly. This program is also an avenue to enhance knowledge and skill to face globalization. This is not student exchange, but youth and cultural exchange exposure program.  BenefitsPre departure: 1 week Japanese Language CourseLive for 5 days in Osaka, JapanLearn and understand on Japanese culture directlySpring ExperienceHeritage walking tour around Osaka and KyotoExperimental learningCertificate of participation from AYFNActivitiesCultural tour activities in Osaka and Kyoto, whereby both cities are well known as the center of Japanese culture.Visit many interesting places both inÂ Osaka and Kyoto, e.g : Osaka castle, Gion District in Kyoto (Geisha), Namba district, Arashiyama, and etc.Taste authentic Japanese cuisine (sushi, udon, ramen, etc)Walk around heritage area of Kyoto.How does the Japan Culture Camp will work?Participants will be met up in JapanThe camp will combine sense of friendship, adventure and cultural awarenessParticipants will live for 5 days in Osaka, JapanThe camp needs participants who passionate in international friendship and adapt new environment (culture differences) easily  ",Japan,-,-,"    DetailsFully Funded Cultural Exchange Program in Japan Letâs experience springtime in Japan!!! Get to know about Japanese Culture Or experience to have Inter-cultural learning in line with making a friend. Itâs your turn to see and travel to Osaka and Kyoto directly.Â  AYFN is delighted to invite you joining our culture camp in Japan. This is a distinguished program that suits your curiosity to have experimental learning!! Youth exchange and cultural program!Program DescriptionJapan Culture Camp by AYFN is a cultural learning program designed to give an understanding on culture and social awareness for participants. This program was started since 2015. This program enables participants to learn about Japanese culture in line with making a friend directly. This program is also an avenue to enhance knowledge and skill to face globalization. This is not student exchange, but youth and cultural exchange exposure program.  BenefitsPre departure: 1 week Japanese Language CourseLive for 5 days in Osaka, JapanLearn and understand on Japanese culture directlySpring ExperienceHeritage walking tour around Osaka and KyotoExperimental learningCertificate of participation from AYFNActivitiesCultural tour activities in Osaka and Kyoto, whereby both cities are well known as the center of Japanese culture.Visit many interesting places both inÂ Osaka and Kyoto, e.g : Osaka castle, Gion District in Kyoto (Geisha), Namba district, Arashiyama, and etc.Taste authentic Japanese cuisine (sushi, udon, ramen, etc)Walk around heritage area of Kyoto.How does the Japan Culture Camp will work?Participants will be met up in JapanThe camp will combine sense of friendship, adventure and cultural awarenessParticipants will live for 5 days in Osaka, JapanThe camp needs participants who passionate in international friendship and adapt new environment (culture differences) easily  ",-,https://ayfnhq.org/event/scholarship-opportunity-spring-japan-culture-camp-2023/,-,Inglés,-,-,-,-,-,-
1,Apply to Eilites Digital Marketing Training 2023 | Funded,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Educación,"Applications for theÂ Eilites Digital Marketing Training & Recruitment 2023Â are now open. If you want to pursue a career in digital marketing, now is the time. A big number of businesses and digital marketing organizations are seeking qualified individuals who are prepared to provide competitive salaries. With the growth of new Internet technologies and trends, a plethora of new employment opportunities have emerged. The scope of digital marketing has expanded. Furthermore, the future of a digital marketing job is as bright as it gets. But why is digital marketing a good career path? One of these is digital marketing, which employs strategies such as SEO, content marketing, social media marketing, and so on. As conventional mediums such as newspapers, magazines, and so on become increasingly outmoded, more and more businesses have begun to see the potential of digital marketing.See More: Village Capital Financial Solutions For Migrants Accelerator Program 2023If you spend more than two hours online every day then this course is for you. They will teach you how to monetize your online presence and work for brands or set up your brand and make partial and full income based on your level of expertise. At the end of the training session, the team selectsÂ 25 top-performing students and recruits them to workÂ with the team on a salary base. Certification is available after training plus a one-year mentorship experience.  Training ContentGoogle AdsYouTube AdsFacebook AdsFacebook Messenger AdsInstagram MarketingYouTube MarketingPinterest MarketingLinkedIn MarketingQuora MarketingTwitter MarketingContentÂ Marketing MachineDigital Marketing FreelancingWordPress MasterclassSEO MasterclassBenefits from Eilites Digital Marketing TrainingOne free website plus hosting for one year10 top trainees will get direct recruitment to work with the Eilites teamFree access to render forest for one yearFree access to premium digital marketing content for one yearFree mentorship from professional digital marketers for one year",Africa,"Deadline15 January,2023",-," for Eilites Digital Marketing TrainingApplicant must be 18 years of age and above;Have internet access;Meet required training fee of $350 (payable in two installments);Available 2 times a week for training(weekends only) for three months;Have a business idea in mind to achieve in a training session or where you can directly apply knowledge been taught.Application of Eilites Digital Marketing TrainingApplications will close on January 15, 2023. Successful Applicants are notified by January 16, 2023.See More: United States Institute Economic Empowerment Program 2023Lastly, It is important to visit the official website link found below to access the application form.  Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://eilites.com/opportunity/,-,Inglés,-,-,-,-,-,-
2,United States Institute Economic Empowerment Program 2023,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Educación,"Applications for theÂ Study of the United States Institute (SUSI) for Student Leaders: Economic Empowerment Program 2023Â are now open. The SUSI on Economic Empowerment will enhance participantsâ knowledge of U.S. history, government, institutions, society, and culture within the context of the theme. Participants will receive an overview of the U.S. economic system and structures while exploring sub-themes such as economic prosperity and opportunity; building sustainable economies; inequities within economies; financial access and inclusion; entrepreneurship and entrepreneurial ecosystems; social entrepreneurship; social capital development; financial literacy; organizational development and management; and adapting to the future of work.See More: Metaverse Design Thinking Course 2022 | Fully FundedThe Institute will incorporate a focus on U.S. historical events as well as contemporary American life, including current political, social, and economic debates in a pluralistic society.Â  Participants will also learn about economic empowerment through foundational discussion on entrepreneurship and social capital as well as capacity building workshops.Â These practical sessions will address financial literacy, business modeling, and leadership and management skills. The five-week program will take place beginning in late June 2023.  Funding from Economic Empowerment ProgramThe programme is fully funded to the U.S. The five-week programme will take place beginning in late June 2023.",Tunisia,"Deadline12 December,2022",-," for Economic Empowerment ProgramCandidates must be Tunisians aged 18-25 years old with no previous experience in the United States.Participants must be undergrads who have completed at least one semester of university and will have at least one semester remaining in their studies after the end of the SUSI programme.Fluency in English is required.Application of Economic Empowerment ProgramApplications and a copy of your transcripts (no translation required) must be emailed to the U.S. Embassy atÂ [email protected]Â by December 12, 2022. Late submissions will not be considered. Only shortlisted applicants will be contacted.See More: MOPGA Visiting Fellowship Program 2023 | Fully FundedLastly, It is important to visit the official website link found below to access the application form.  Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://tn.usembassy.gov/2023-study-of-the-united-states-institute-susi-for-student-leaders-economic-empowerment-program/,-,Inglés,-,-,-,-,-,-
3,Max Thabiso Edkins Climate Ambassador Program 2023,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Educación,"Applications are open for theÂ Max Thabiso Edkins Climate Ambassador Program 2023. The MTECAP is a six-month online programme that catalyzes youth climate leadership by enabling participants to: connect with one another; learn from World Bank experts and Global Youth Climate Network (GYCN) and Connect4Climate (C4C) knowledge partners; and take meaningful climate action both in their communities and globally. The programme offers a mix of technical and hands-on sessions providing the young ambassadors with in-depth knowledge and understanding of climate change and the related challenges explored in the World Bank Group Climate Change Action Plan as well as guidance on how to creatively communicate their newfound knowledge for maximal impact. By the conclusion of the programme, each participant will be expected to have attended a predefined number of learning sessions and implemented three concrete climate actions in their community. All those who meet these criteria will graduate and receive a certificate of completion.See More: Swift Institute/GBSN Case Writing Grant Competition 2022Responsibilities of Edkins Climate Ambassador ProgramÂ This ambassadorship is an awesome opportunity that comes with real responsibilities. In order to receive certificates of completion and be invited to join the Alumni Community, participants in the programme must:  Commit ~3 hours per week to programme activitiesÂ between February and August 2023.Attend the mandatory opening and closing sessions, weekly online learning sessions (at least â of the total number of sessions â they expect to offer eight or more), and creative communications and storytelling sessions offered by Connect4Climate.Complete at least three climate-related actions in their communities and provide documentation thereof (photos, videos, online mentions, etc.) to GYCN.Participate in a dedicated Telegram channel where the GYCN team will share programmatic updates and opportunities from its partner network.Join networking sessions and actively participate in GYCN social media campaigns.",UK,"Deadline10 December,2022",-,"Applicants will be evaluated on each of the following criteria:Past and current experience as a youth leader in communities at the local, regional, national, or global level. Demonstrated ability to organize community activities is an advantage.Passion for climate solutions and sustainable development, and motivation to take action and empower others. We are looking for self-starters willing to take charge.Scale and strength of the applicantâs network and active presence on social media.The potential impact of the applicantâs proposed contributions to their communities and networks.Application of Edkins Climate Ambassador ProgramÂ Do you have what it takes to be a Max Thabiso Edkins Climate Ambassador? If youâre committed to climate action and excited to engage your community, they would love to hear from you!  Apply by December 10 and you could help bring Maxâs passion for action to a new generation of leaders.See More: Mastercard Foundation Scholars Program 2023/24 | Fully FundedLastly, It is important to visit the official website link found below to access the application form.Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://www.oneyoungworld.com/event/apply-become-max-thabiso-edkins-climate-ambassador,-,Inglés,-,-,-,-,-,-
4,Changemakers for the Planet Program 2023 | Funded,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Educación,"Applications are invited for theÂ Changemakers for the Planet Program 2023. Through âChangemakers for the Planetâ, ChangemakerXchange connects, supports and amplifies the work and voices of hundreds of young changemakers, activists and innovators from all regions of the world who address the planetary crisis. See more: Mastercard Foundation Scholars Program 2023/24 | Fully FundedThey search, identify, and select young changemakers, activists and leaders, who tackle climate change, biodiversity loss, air, sea and land pollution.They connect them through intensive in-person and online retreats and via their global community.They support their initiatives through collaboration grants and extensive online capacity building.Benefits from Changemakers for the PlanetParticipants get access to:SummitsÂ convening 25 innovators each for a 5 day intensive experience of bonding, learning, and collaborating.Capacity BuildingÂ providing you with tailored skills-building sessions and connections to companions and allies.FundingÂ to go towards systemic collaborative efforts among participants.CommunityÂ giving you lifelong membership in ChangemakerXchangeâs vibrant global network of 1000+ changemakers from 130 countries.",-,"Deadline15 January,2023",-," for Changemakers for the PlanetOpen to applications from changemakers who tackle the planetary crisis;Be aged 18-35;Based and with impact in Europe or the Middle East and North Africa.Application of Changemakers for the PlanetApplication deadline is January 15, 2023 (11:59 PM CET). Late applications will not be considered.  See More: Mastercard Foundation AfOx Scholarship Program 2023/24Lastly, It is important to visit the official website link found below to access the application form.Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.   ",-,https://changemakerxchange.org/changemakers-for-the-planet/,-,Inglés,-,-,-,-,-,-
5,Apply for the Global Undergraduate Exchange Program 2023,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Educación,"Applications are invited for the Global Undergraduate Exchange Program 2023. The Global Undergraduate Exchange Programme (Global UGRAD) brings future leaders to the United States to experience U.S. higher education, gain critical professional skills, and explore new cultures and values. Since 2008, World Learning has provided this opportunity to over 2,500 Global UGRAD students. Participants leave the U.S. with the tools to become leaders in their professions and communities. Global UGRAD alumni go on to receive Fulbright grants, obtain prestigious international internships, and work in business and government in their home countries and regions.See More:Â EIT Climate-KIC Adaptation & Resilience ClimAccelerator 2023Program GoalsTo promote mutual understanding between people of the United States and other countries.Provide a fulfilling exchange experience to drive academic, cross-cultural, and leadership competencies for students from Global UGRAD countries.Enhance studentsâ academic knowledge and professional skills needed to pursue long-term academic and career goals.Cultivate studentsâ comprehensive and nuanced understanding of the U.S.Facilitate opportunities for students to establish social networks with U.S. host institutions and local communities.Empower students to engage constructively in the civic life of their local and global communities.Funding for Global Undergraduate Exchange ProgramÂ The Global Undergraduate Exchange Programme is sponsored by the U.S. Department of State with funding provided by the U.S. Government and administered by World Learning.",USA,"Deadline15 December,2022",-," for Global Undergraduate Exchange ProgramÂ Open to anyone who is:  over 18 years of age;a citizen of a UGRAD participating country, currently residing in that country;enrolled as an undergraduate in good standing at any accredited university, public orÂ private, and has at least one semester remaining at their home university at the conclusion of the UGRAD programme;completed secondary education in their home country;a solid command of written and spoken English (English Language training for some finalists is possible);able to begin studies in the United States in August 2023 or January 2024 (selected participants may not defer to a later date);eligible to receive and maintain the US student exchange visa (J-1) required for the programme;cleared by a physician to participate in the programme;committed to returning to their home country after the completion of the programme.Eligible CountriesAlbania, Algeria, Armenia, Azerbaijan, Bahrain, Bangladesh, Belarus, Bosnia-Herzegovina, Brunei, Burma (Myanmar), Cambodia, China, Costa Rica, Dominican Republic, Egypt, El Salvador, Ethiopia, Fiji, Georgia, Guatemala, Haiti, Honduras, India, Indonesia, Israel, Jordan, Kazakhstan, Kenya, Kiribati, Kosovo, Kuwait, Kyrgyzstan, Laos, Lebanon, Malawi, Malaysia, Maldives, Mauritania, Moldova, Mongolia, Montenegro, Morocco, Mozambique, Nauru, Nepal, Nicaragua, Niger, North Macedonia, Palestinian Territories (West Bank and Gaza), Panama, Papua New Guinea, Paraguay, Philippines, Russia, Samoa, Saudi Arabia, Serbia, Singapore, Solomon Islands, South Korea, Sri Lanka, Tajikistan, Thailand, Timor Leste, Tonga, Turkmenistan, Tuvalu, Ukraine, Uzbekistan, Vanuatu, Venezuela, Vietnam, ZimbabweApplication of Global Undergraduate Exchange ProgramÂ Application closes on December 15, 2022 at 11:59 PM Eastern Time.  See More: EIT Climate-KIC & EIT Digital Sustainable Cities Climate Impact Challenge 2023Lastly, It is important to visit the official website link found below to access the application form.Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://www.worldlearning.org/program/global-undergraduate-exchange-program/,-,Inglés,-,-,-,-,-,-
6,Cascador Program for Entrepreneurs 2022 | Funded,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Educación,"Applications are open for the Cascador Program 2022. Cascador is a ground-breaking programme for mid-stage entrepreneurs in Africa who are scaling mission-driven companies. They combine one power week in-person in Lagos with 6 months of mentorship to turbo-charge your business. Their goal is that you leave the Cascador programme as a strong, transformative leader with a strategic plan to scale, and the connections, resources, and capital required to execute your plan.See More: Ashoka Prudential Emerging Visionaries Program 2023Fellows are dedicated to accelerating business growth, improving their leadership skills, and refining their value proposition with the guidance of successful American and Nigerian entrepreneurs. Cascador launched in 2019, and has elevated three successful cohorts of African entrepreneurs and their companies through a unique blend of education, self-discovery, mentoring, pitch training, and personalized advisory support.  ",Africa,-,-," for Cascador ProgramOpen to African entrepreneurs;Be at least 1 year in business;$50K USD annual revenue or >$250K USD capital raised.Application of Cascador ProgramThe venue for the programme is Lagos Business School (housing and meals are provided). Each cohort size is limited to 10 entrepreneurs.See More: Next Einstein Forum Ambassadors Program 2022-2024Lastly, It is important to visit the official website link found below to access the application form.  Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://cascador.org/?fbclid=IwAR2Czu0MMImhtSIgaMfi9ugqLLPavCkYmxlwDlQzaSi4zzcAr5sfDSmQ7uM,-,Inglés,-,-,-,-,-,-
7,Apply for US DV Lottery (Diversity Visa) 2023,Beca,-,Universidad,Educación,"Application Open for 2024 Diversity Visa Program || Apply USA Green Card  The application period for the 2024 Diversity Visa (DV) program opens at noon Eastern Daylight Time (EDT), October 7, 2022 . We strongly encourage DV program entrants to apply early!  Important information for intending applicants:Applying is FREE: There is NO FEE to enter the DV Program.Consultants Not Necessary: The U.S. Embassy recommends against using a consultant to assist you with your application. Please consider using a family member, friend or other trusted person if you need assistance. No matter who provides assistance, you are solely responsible for your own application.Apply online: Entries for the 2022 Diversity Visa Program must use the electronic Diversity Visa entry form (E-DV) at www.dvlottery.state.gov during the registration period.Entire family on application: When registering, you must list your spouse and all of your unmarried children under the age of 21 at the time of application. Submissions without the inclusion of family members will make your entry invalid.One application per person: You may submit only ONE application. Â  Â  Â  Applicants who submit more than one application will be disqualified from consideration.Submit a recent photo: Entries submitted with the same photo from previous DV years will be disqualified. Be sure to precisely follow the photo rules and associate each photo with the correct person on your application. Please note that applicants may not wear glasses in their photos.Valid, unexpired passport information required: This yearâs entries must include the primary applicantâs passport number, country of issuance, and the passport expiration date.Be sure to print and save your confirmation number: This number is the only way to check your status.Never give your confirmation number to anyone.The only method of determining whether you were selected for the DV is by entering your confirmation number at www.dvlottery.state.gov on or after May 8, 2023 .Entrants must provide an e-mail address as part of their entry; however, there is NO email notification sent to selectees informing them they were selected.  ",USA,-,-,"    DetailsApplication Open for 2024 Diversity Visa Program || Apply USA Green Card  The application period for the 2024 Diversity Visa (DV) program opens at noon Eastern Daylight Time (EDT), October 7, 2022 . We strongly encourage DV program entrants to apply early!  Important information for intending applicants:Applying is FREE: There is NO FEE to enter the DV Program.Consultants Not Necessary: The U.S. Embassy recommends against using a consultant to assist you with your application. Please consider using a family member, friend or other trusted person if you need assistance. No matter who provides assistance, you are solely responsible for your own application.Apply online: Entries for the 2022 Diversity Visa Program must use the electronic Diversity Visa entry form (E-DV) at www.dvlottery.state.gov during the registration period.Entire family on application: When registering, you must list your spouse and all of your unmarried children under the age of 21 at the time of application. Submissions without the inclusion of family members will make your entry invalid.One application per person: You may submit only ONE application. Â  Â  Â  Applicants who submit more than one application will be disqualified from consideration.Submit a recent photo: Entries submitted with the same photo from previous DV years will be disqualified. Be sure to precisely follow the photo rules and associate each photo with the correct person on your application. Please note that applicants may not wear glasses in their photos.Valid, unexpired passport information required: This yearâs entries must include the primary applicantâs passport number, country of issuance, and the passport expiration date.Be sure to print and save your confirmation number: This number is the only way to check your status.Never give your confirmation number to anyone.The only method of determining whether you were selected for the DV is by entering your confirmation number at www.dvlottery.state.gov on or after May 8, 2023 .Entrants must provide an e-mail address as part of their entry; however, there is NO email notification sent to selectees informing them they were selected.  ",-,https://dvprogram.state.gov/,-,Inglés,-,-,-,-,-,-
8,UNESCO MGIEP Youth Waging Peace Free Course 2022,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Educación,"Applications are open for theÂ UNESCO MGIEP Social Emotional Learning for Youth Waging Peace Free Course 2022. The UNESCO Mahatma Gandhi Institute of Education for Peace and Sustainable Development (MGIEP) has launched the online course âSocial Emotional Learning for Youth Waging Peaceâ (SEL4YWP), addressing the needs for the SDG 4, SDG 16 and Youth, Peace, and Security (YPS) Agenda. SEL for #YouthWagingPeace course is a powerful online course designed specifically for youth (18+) to learn how to use social and emotional learning for the prevention of violent extremism. Aimed at youth peacebuilders, this course will help in cultivating critical social-emotional competencies, develop systems-informed interventions to prevent violent extremism, and work towards building sustainable peace in their immediate communities.See More: World Health Organization Road Safety Journalism Workshop 2022The online, self-directed course uses narrative format for scenario-based learning (graphic novel look-and-feel) to engage learners with the course content and provides them the opportunity to arrive at their own insights by exploring the story and the topics along with a fictional character, Kalamfariku, and the experiences and viewpoints of 4 characters from the story, Amum, Wondoo, Kimsha, and Magrub. The course takes approximately 16-20 hours to complete and learners receive aÂ certificate issued by UNESCO MGIEP.  Benefits from Waging Peace Free CourseAn internationally recognized certificate of completion from UNESCO MGIEP for your further study or employment.Network and possible follow-up collaboration with worldwide fellow learners and SEL communities through Basecamp platform and regular Zoom MasterClass, as well as potential full/partially funded offline/onsite training of trainers/facilitators.Global visibility for you and/or your organisation/community.",India,-,-," for Waging Peace Free CourseOpen to youth peacebuilders around the world;Applicants should be at least 18 years old.Application of Waging Peace Free CourseClick here to applySee More: Harrison Middleton University Fellowship 2023 | Fully FundedLastly, It is important to visit the official website link found below to access the application form.  Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://mgiep.unesco.org/sel-for-youth-waging-peace,-,Inglés,-,-,-,-,-,-
9,MENA-USA Empowering Resilient Girls Exchange Program 2022,Beca," Tags: 2022, Academic Jobs, career opportunities, Competitions and Awards, covid health education, COVID-19, EMBA, entrepreneurship, fellow opportunities Opportunities for youths, Fellowships, Fellowships 2020, Finance, fully funded, fully funded fellowships, fully funded opportunities, fully funded scholarships, funded fellowship, Funded Fellowships, funded opportunities, google, GSBM, health, international fellowships, International Scholarships, opportunities, opportunities for entrepreneurs, opportunities for students, opportunities for youths, Opportunity, opportunity for student, oya opportunities, oyaop, oyaop.com, safety, Scholarships for MBA, Swiss Degree, www.oyaop.com, youths, YouTube",Universidad,Educación,"Applications are open for theÂ Global Ties U.S. MENA-USA Empowering Resilient Girls Exchange (MERGE) Program 2022. MERGE brings togetherÂ young women andÂ girls ages 15-19 from the United States andÂ Middle East/North Africa (MENA)Â region in a supportive virtual space to develop emotional resilience skills. Participants discuss and experiment with a variety of stress-relief and coping techniques while guided by trained facilitators, engaging in both synchronous (live) and asynchronous exchange.See More: UNESCO MGIEP Youth Waging Peace Free Course 2022Program DetailsMERGE is an eightÂ (8)Â weekÂ virtual exchange programme inÂ whichÂ youâllÂ learn about mental health, focusing onÂ yourÂ own emotional resilience,Â and empowering your community.Â Youâll spend yourÂ first week building a supportive global community through cultural exchange activities. The next five weeksÂ will exploreÂ practical approaches to strengthening emotional resilience.Â Youâll be part of aÂ 20-person section â 10Â young womenÂ from the United States and 10 from the MENA region â and you willÂ support eachÂ otherÂ inÂ implementingÂ these strategies inÂ your own lives.  Your facilitator will guide you throughout the programme, providing resources and moderating discussions. Youâll interact with other young women through writing and video, and explore apps such as Flipgrid. Two live discussions about leadership and emotional resilience will provide additional perspectives during your program.Â Prior featured speakersÂ includeÂ Bilqis Abdul Qadir, aÂ coach/activist empowering Muslim girlsÂ in sports, and Alyson Watson, an entrepreneur developing digital tools to assess mental wellbeing.Â In MERGEâS final two weeks, your five-person team will create an entry for MERGEâs digital resilience strategies website to share with your community and the world!Benefits from Resilient Girls Exchange ProgramBy participating inÂ MERGE, you will receive:  AÂ Certificate of CompletionÂ in leadership andÂ mental health awareness;Access to the U.S. Department of Stateâs International Exchange Alumni network;",USA,-,-," forÂ unique project funding opportunitiesÂ ofÂ up $1,000Â from the Stevens Initiative Alumni Small Grants programme.Eligibility for Resilient Girls Exchange ProgramMERGEÂ participantsÂ must:Reside in the UnitedÂ StatesÂ or a MENAÂ region countryÂ (Algeria, Bahrain, Egypt, Iraq, Jordan, Kuwait, Lebanon, Libya, Morocco, Oman,Â Palestinian Territories,Â Qatar, Saudi Arabia, Tunisia, United Arab Emirates,Â or Yemen);Identify as aÂ girl or young woman;Be between the ages of 15 to 19 as of September 26, 2022;Speak English at anÂ intermediateÂ level or higher;Be available during theÂ program dates listedÂ above;HaveÂ access to aÂ reliable,Â internet-connected device (smartphone, tablet, laptop, etc.)Â that can be utilized forÂ at least three (3) hours a week forÂ the duration of the program;HaveÂ an interestÂ inÂ mental health,Â community building, andÂ international exchange.Application of Resilient Girls Exchange ProgramThe second cohort startsÂ September 26,Â 2022Â and ends onÂ NovemberÂ 18, 2022. The programme will require three (3) hours of time each week, generally carried out on your own schedule. You can choose when to complete most activities during the week they become available. You will also join a scheduled video call with your MERGE section at least three times during the programme, the timing of which will be determined in advance.See more: UNU-WIDER Visiting Scholars Program 2022/2023Lastly, It is important to visit the official website link found below to access the application form.Correspondingly, Join us onÂ TelegramÂ for more opportunities!Similarly, VisitÂ oyaop.comÂ andÂ oyaschool.comÂ for more scholarship opportunities.",-,https://www.globaltiesus.org/merge-participant-application/,-,Inglés,-,-,-,-,-,-
